Event,Evaluator - Selection Day,Evaluator - Pre-IC,Evaluator - IC,Startup - Selection Day,Startup - Pre-IC,Startup - IC,Startup - IC copy,Final Decision,Startup Name,Founders,Clarity & Size of Problem,MOAT/Edge (is the product defensible?),Traction & Validation,Global Ambition/US Potential,Founders-Market Fit (is it the right team for the problem?),Quality of Team,Execution Capacity / Traction,Market Potential,Overall Score,Go / No Go / Maybe,Comments,Attachment Summary,Date
,,,Christian,,,JooobAI,,,,,,,,,,4,5,5,4,Go,,,9/12/2025
,,,Salomon,,,JooobAI,,,,,,,,,,5,4,4,4,Maybe,i like the team - tech defensibility is low - and given no traction its hard to see the competitive edge ,,9/12/2025
,,,Hugo,,,JooobAI,,,,,,,,,,4,2,3,3,Maybe,Need to show more ,,9/12/2025
,,,Pierre-Emmanuel,,,JooobAI,,,,,,,,,,4,3,5,4,Maybe,need to clarifiy what SME client is / ADS and how moving from 7 k€ to 1 M€,,9/12/2025
,,,Maxime,,,JooobAI,,,,,,,,,,4,2,4,3,Maybe,"Great team on paper, great understanding of the market, but I need to see them execute on their plan.",,9/12/2025
,,,Salomon,,,Umamy,,,,,,,,,,2,2,1,2,No Go,feature - not product - too many competitors ,,9/12/2025
,,,Bruno,,,JooobAI,,,,,,,,,,3,3,2,2,No Go,Good presentation.  But doubtful about the market growth potential and commoditization.,,9/12/2025
,,,Christian,,,Umamy,,,,,,,,,,4,5,4,4,Maybe,,,9/12/2025
,,,Stephanie,,,JooobAI,,,,,,,,,,3,2,2,2,No Go,,,9/12/2025
,,,Bruno,,,Umamy,,,,,,,,,,4,3,5,3,No Go,"Worried about the dependencies around LinkedIN.  LinkedIN has strict API requirements.  Sounds like they are using ONE sales navigator account to help with their platform.  I would check if they are allowed to do that.

Finally, not sure about the '5 min' call to design ICP.  Seems like it would introduce a lot of friction.",,9/12/2025
,,,Maxime,,,Umamy,,,,,,,,,,4,3,2,3,Maybe,"Complex jump from AI Linkedin hunter to paperwork generator.
Pricing low with Entreprise clients.
Good capacity to close big clients but bad pricing.",,9/12/2025
,,,Eric,,,JooobAI,,,,,,,,,,2,3,3,3,No Go,,,9/12/2025
,,,Stephanie,,,Umamy,,,,,,,,,,4,3,2,3,No Go,,,9/12/2025
,,,Pierre-Emmanuel,,,Umamy,,,,,,,,,,4,3,3,3,,busy market. target client is a bit unclear.,,9/12/2025
,,,Hugo,,,Umamy,,,,,,,,,,3,2,3,3,Maybe,"No clarity, few achievement",,9/12/2025
,,,Eric,,,Umamy,,,,,,,,,,4,2,3,3,Maybe,"Team looks good
Too early to evaluate traction",,9/12/2025
,,,Salomon,,,AvaHome,,,,,,,,,,5,5,5,4,Go,topic has no defensibility - this will not become a unicorn vc backed but it can become a very high cash flow profitable business ,,9/12/2025
,,,Maxime,,,AvaHome,,,,,,,,,,3,5,3,4,Go,Bad market but top team and execution.,,9/12/2025
